algorithm n comparisons time
selection 1000 999000 0.002880333
quick 1000 13421 0.000051166
std 1000 9671 0.000041916
bubble 1000 991008 0.002957958
insertion-smart 1000 8606 0.000135375
insertion-dumb 1000 247281 0.000712666
selection 1000 999000 0.002739166
quick 1000 13367 0.000047833
std 1000 9656 0.000038583
bubble 1000 937062 0.002589208
insertion-smart 1000 8605 0.000126583
insertion-dumb 1000 250945 0.000672958
selection 1000 999000 0.002535333
quick 1000 13967 0.000046583
std 1000 9716 0.00003425
bubble 1000 950049 0.002559791
insertion-smart 1000 8588 0.000116541
insertion-dumb 1000 251430 0.000625416
selection 1000 999000 0.002368416
quick 1000 14492 0.000045833
std 1000 9672 0.000031958
bubble 1000 941058 0.002453125
insertion-smart 1000 8590 0.000120375
insertion-dumb 1000 257331 0.0006475
selection 1000 999000 0.002359041
quick 1000 14910 0.000044666
std 1000 9718 0.00003725
bubble 1000 984015 0.002348625
insertion-smart 1000 8579 0.00010675
insertion-dumb 1000 240538 0.000555125
selection 1000 999000 0.002206291
quick 1000 14370 0.000041875
std 1000 9728 0.000029708
bubble 1000 925074 0.002229333
insertion-smart 1000 8589 0.000121583
insertion-dumb 1000 255673 0.00059075
selection 1000 999000 0.002212958
quick 1000 14689 0.000042666
std 1000 9660 0.000030083
bubble 1000 952047 0.002231166
insertion-smart 1000 8585 0.000104583
insertion-dumb 1000 249065 0.000558041
selection 1000 999000 0.002122791
quick 1000 16006 0.000043416
std 1000 9699 0.000028541
bubble 1000 960039 0.002219208
insertion-smart 1000 8593 0.000105458
insertion-dumb 1000 245445 0.00055
selection 1000 999000 0.002103916
quick 1000 14582 0.0000395
std 1000 9703 0.000028083
bubble 1000 954045 0.002199916
insertion-smart 1000 8572 0.000104375
insertion-dumb 1000 253727 0.00056875
selection 1000 999000 0.002161583
quick 1000 13723 0.000041458
std 1000 9713 0.000029
bubble 10000 98290170 0.233192333
insertion-smart 10000 118969 0.007481083
insertion-dumb 10000 24807121 0.056277041
selection 10000 99990000 0.226104166
quick 10000 218045 0.00057075
std 10000 128331 0.00036175
bubble 10000 98570142 0.245418333
insertion-smart 10000 118986 0.008871916
insertion-dumb 10000 25167619 0.058764
selection 10000 99990000 0.221387333
quick 10000 205752 0.000540083
std 10000 128165 0.000365791
bubble 10000 98830116 0.231680291
insertion-smart 10000 119053 0.007965083
insertion-dumb 10000 24949929 0.054968083
selection 10000 99990000 0.224879666
quick 10000 219427 0.000562958
std 10000 128218 0.000488875
bubble 10000 98260173 0.256513666
insertion-smart 10000 119067 0.008747041
insertion-dumb 10000 25089266 0.06231775
selection 10000 99990000 0.208430875
quick 10000 198568 0.000523666
std 10000 128186 0.000357833
bubble 10000 98000199 0.22858475
insertion-smart 10000 118931 0.007351041
insertion-dumb 10000 24958144 0.05414125
selection 10000 99990000 0.208875916
quick 10000 208658 0.000541833
std 10000 128651 0.000346916
bubble 10000 96890310 0.222086791
insertion-smart 10000 118919 0.00726175
insertion-dumb 10000 24879301 0.053753333
selection 10000 99990000 0.208075458
quick 10000 211710 0.00057375
std 10000 128129 0.000353708
bubble 10000 99330066 0.233637083
insertion-smart 10000 118973 0.007507416
insertion-dumb 10000 24871029 0.054940791
selection 10000 99990000 0.208783666
quick 10000 202228 0.000525166
std 10000 127869 0.000348291
bubble 10000 98440155 0.225994666
insertion-smart 10000 119056 0.007479083
insertion-dumb 10000 24959439 0.054728791
selection 10000 99990000 0.207703875
quick 10000 207347 0.000551875
std 10000 128180 0.000355
bubble 10000 99530046 0.23498875
insertion-smart 10000 118955 0.007382583
insertion-dumb 10000 25005071 0.055126708
selection 10000 99990000 0.210080541
quick 10000 207747 0.000582083
std 10000 128148 0.000358458
bubble 10000 99510048 0.229143291
insertion-smart 10000 118941 0.007780625
insertion-dumb 10000 25028735 0.053625458
selection 10000 99990000 0.207055
quick 10000 253076 0.000651583
std 10000 128087 0.000363166
